abject
abnormal
abominable
abrasive
absentee
absurd
absurdity
abuse
accursed
acrimony
adulteration
adultery
adverse
adversity
affectation
affliction
aggravation
aggression
aggressiveness
aghast
agitation
alarming
alienation
amiss
animosity
annihilation
anti-social
antipathy
apathy
appall
arbitrary
arduous
arrogance
arrogant
artificial
assault
atrocious
attack
attack
audacious
audacity
avarice
avaricious
avenge
awful
awkward
awkwardness
backwardness
bad
badly
banal
bane
bankrupt
bankruptcy
barbarian
barbarous
beastly
beat
beat
bereavement
beside
bizarre
blame
bleak
blemish
blind
blind
blindness
blockhead
board
boast
boastful
bogus
bondage
bore
bore
bore
boredom
bother
bothersome
bound
bow
brat
bribe
broke
broke
brutality
brute
brutish
burden
burdensome
burglar
burglary
burn
busybody
butchery
cancer
cannibal
capital
capricious
careless
carelessness
carry
catastrophe
catch
chaos
chaotic
cheap
cheater
childish
chronic
circle
clamor
clumsy
clutter
coarseness
cockiness
coercion
cold
commiseration
commotion
complication
complicity
conceit
condemnation
condescending
condescension
confinement
confiscation
confrontation
confuse
confuse
confusion
consternation
consumptive
contamination
contempt
contemptible
contemptuous
corrupt
corruption
costly
counterfeit
covert
crafty
crash
crass
craze
craziness
crazy
creep
crime
crisis
crook
crooked
cruel
cruelty
culprit
cursory
cynical
cynicism
damage
damnable
damned
danger
dangerous
deadly
deadweight
deaf
deafness
dearth
decadence
decadent
deceit
deceitful
deceive
deception
defeat
defect
defective
defiance
defiant
deficiency
deficient
deficit
degenerate
delinquency
delinquent
delirium
delusion
demand
demon
dependence
deplorable
depraved
depress
depression
derision
derisive
desertion
desolate
desolation
despicable
despise
destruction
destructive
detachment
detestable
detrimental
devastation
difficult
difficulty
dilemma
dire
dirty
disadvantage
disadvantageous
disappoint
disappoint
disapproval
disaster
disastrous
discord
discouragement
discrimination
disdain
disease
diseased
disgrace
disinterest
dismal
disobedience
disobedient
disorder
disorganized
disputable
disruption
dissatisfaction
dissent
dissention
distraction
disturb
disturbance
divorce
doldrums
dominant
domination
doom
dope
double
doubtful
drab
dreadful
dreary
drunk
drunkard
drunken
dubious
dunce
egotistical
embarrassment
emergency
envious
envy
equivocal
error
evil
evil
excessive
expensive
extravagant
fabrication
fail
failure
false
fanatic
fanatical
fault
feeble
fever
fight
filth
filthy
fix
flu
foolish
foolishness
force
foreign
forgetfulness
formidable
fracture
frail
front
fruitless
fussy
futility
ghastly
grave
grave
grave
grave
grim
grotesque
guilty
hack
hand
hand#_11
handicap
hapless
hard
hardship
harm
harmful
harsh
havoc
hazard
hazardous
head
headache
hectic
hedonistic
helplessness
hesitant
hesitation
hideous
hindrance
hole
hole
homely
horn
